4runr-pipeline    | 2025-07-23 10:15:32 - pipeline-runner - INFO - [RUNNER] Starting 4Runr lead generation pipeline...
4runr-pipeline    | 2025-07-23 10:15:32 - pipeline-runner - INFO - [RUNNER] Leads file contains 1 leads
4runr-pipeline    | 2025-07-23 10:15:32 - pipeline-runner - INFO - [RUNNER] - unknown: 1 leads
4runr-pipeline    | 2025-07-23 10:15:32 - pipeline-runner - INFO - [RUNNER] - 0 leads synced to Airtable
4runr-pipeline    | 2025-07-23 10:15:32 - pipeline-runner - INFO - [RUNNER] Running scraper agent...
4runr-scraper     | 2025-07-23 10:15:33 - scraper - INFO - Starting scraper in one-time execution mode
4runr-scraper     | 2025-07-23 10:15:33 - scraper - INFO - Found 1 leads in shared/leads.json
4runr-scraper     | 2025-07-23 10:15:33 - scraper - INFO - Processing lead: John Test from Acme AI
4runr-scraper     | 2025-07-23 10:15:33 - scraper - INFO - Setting lead status to 'scraped'
4runr-scraper     | 2025-07-23 10:15:34 - scraper - INFO - Saving updated leads to shared/leads.json
4runr-scraper     | 2025-07-23 10:15:34 - scraper - INFO - Scraper completed successfully
4runr-pipeline    | 2025-07-23 10:15:35 - pipeline-runner - INFO - [RUNNER] scraper agent completed with exit code 0
4runr-pipeline    | 2025-07-23 10:15:35 - pipeline-runner - INFO - [RUNNER] Checking leads after scraping:
4runr-pipeline    | 2025-07-23 10:15:35 - pipeline-runner - INFO - [RUNNER] Leads file contains 1 leads
4runr-pipeline    | 2025-07-23 10:15:35 - pipeline-runner - INFO - [RUNNER] - scraped: 1 leads
4runr-pipeline    | 2025-07-23 10:15:35 - pipeline-runner - INFO - [RUNNER] - 0 leads synced to Airtable
4runr-pipeline    | 2025-07-23 10:15:37 - pipeline-runner - INFO - [RUNNER] Running enricher agent...
4runr-enricher    | 2025-07-23 10:15:38 - enricher - INFO - Starting enricher in one-time execution mode
4runr-enricher    | 2025-07-23 10:15:38 - enricher - INFO - Found 1 leads in shared/leads.json
4runr-enricher    | 2025-07-23 10:15:38 - enricher - INFO - Found 1 leads with status 'scraped'
4runr-enricher    | 2025-07-23 10:15:38 - enricher - INFO - Processing lead: John Test from Acme AI
4runr-enricher    | 2025-07-23 10:15:38 - enricher - INFO - Enriching lead with OpenAI...
4runr-enricher    | 2025-07-23 10:15:40 - enricher - INFO - Successfully enriched lead with OpenAI
4runr-enricher    | 2025-07-23 10:15:40 - enricher - INFO - Setting lead status to 'enriched'
4runr-enricher    | 2025-07-23 10:15:40 - enricher - INFO - Saving updated leads to shared/leads.json
4runr-enricher    | 2025-07-23 10:15:40 - enricher - INFO - Enricher completed successfully
4runr-pipeline    | 2025-07-23 10:15:41 - pipeline-runner - INFO - [RUNNER] enricher agent completed with exit code 0
4runr-pipeline    | 2025-07-23 10:15:41 - pipeline-runner - INFO - [RUNNER] Checking leads after enrichment:
4runr-pipeline    | 2025-07-23 10:15:41 - pipeline-runner - INFO - [RUNNER] Leads file contains 1 leads
4runr-pipeline    | 2025-07-23 10:15:41 - pipeline-runner - INFO - [RUNNER] - enriched: 1 leads
4runr-pipeline    | 2025-07-23 10:15:41 - pipeline-runner - INFO - [RUNNER] - 0 leads synced to Airtable
4runr-pipeline    | 2025-07-23 10:15:43 - pipeline-runner - INFO - [RUNNER] Running engager agent...
4runr-engager     | 2025-07-23 10:15:44 - engager - INFO - Starting engager in one-time execution mode
4runr-engager     | 2025-07-23 10:15:44 - engager - INFO - Found 1 leads in shared/leads.json
4runr-engager     | 2025-07-23 10:15:44 - engager - INFO - Found 1 leads with status 'enriched'
4runr-engager     | 2025-07-23 10:15:44 - engager - INFO - Processing lead: John Test from Acme AI
4runr-engager     | 2025-07-23 10:15:44 - engager - INFO - Sending lead via Microsoft Graph...
4runr-engager     | 2025-07-23 10:15:46 - engager - INFO - Successfully sent lead via Microsoft Graph
4runr-engager     | 2025-07-23 10:15:46 - engager - INFO - Setting lead status to 'engaged'
4runr-engager     | 2025-07-23 10:15:46 - engager - INFO - Saving updated leads to shared/leads.json
4runr-engager     | 2025-07-23 10:15:46 - engager - INFO - Engager completed successfully
4runr-pipeline    | 2025-07-23 10:15:47 - pipeline-runner - INFO - [RUNNER] engager agent completed with exit code 0
4runr-pipeline    | 2025-07-23 10:15:47 - pipeline-runner - INFO - [RUNNER] Checking leads after engagement:
4runr-pipeline    | 2025-07-23 10:15:47 - pipeline-runner - INFO - [RUNNER] Leads file contains 1 leads
4runr-pipeline    | 2025-07-23 10:15:47 - pipeline-runner - INFO - [RUNNER] - engaged: 1 leads
4runr-pipeline    | 2025-07-23 10:15:47 - pipeline-runner - INFO - [RUNNER] - 0 leads synced to Airtable
4runr-pipeline    | 2025-07-23 10:15:47 - pipeline-runner - INFO - [RUNNER] Successfully retried 1 failed Airtable syncs
4runr-pipeline    | 2025-07-23 10:15:47 - pipeline-runner - INFO - [RUNNER] Pipeline complete ✅
